;janv-26;;;;;;;;;
Pommes de terre, par kilogramme 5;4,58;5,09;5,38;5,57;4,87;4,72;6,07;4,74;4,98;4,86
Patates douces, par kilogramme 5;4,09;4,09;4,93;4,87;5,29;5,33;5,4;4,39;5,42;5,23
Tomates, par kilogramme 5;7,08;5,89;6,86;6,69;5,65;5,51;7,13;6,64;5,67;5,51
Chou, par kilogramme 5;2,39;2,34;2,53;2,55;2,7;2,66;2,88;2,49;2,69;2,65
Carottes, 1,36 kilogrammes 6;2,94;3,38;3,57;3,52;4,44;4,29;3,84;3,53;4,48;4,39
Oignons, par kilogramme 5;4,62;5,47;5,92;5,98;5,32;5,44;6,04;5,77;5,27;5,34
Oignons, 1,36 kilogrammes 6;3,3;4,37;4,51;4,54;4,63;4,34;4,62;4,51;4,71;4,26
Céleri, unité 5;4,14;4,09;4,39;4,42;4,27;4,24;4,82;3,72;4,35;4,28
Concombre, unité 5;1,94;1,91;2;2,03;2,22;2,2;2,15;1,81;2,06;2,18
Champignons, 227 grammes 6;2,06;2,42;2,69;2,67;2,85;2,8;2,89;2,66;2,83;2,82
Laitue iceberg, unité 5;2,82;3,51;3,85;3,86;3,65;3,66;4,22;3,89;3,63;3,53
Laitue romaine, unité 5;3,86;4,02;3,87;3,9;4,25;4,57;4,53;3,67;4,06;4,3
Brocoli, unité 5;2,35;2,4;3,17;3,28;4,28;4,31;3,73;3,22;4,98;4,22
Poivrons, par kilogramme 5;8,33;8,47;8,87;9,02;9,3;8,82;10,02;8,72;9,71;8,82
Courge, par kilogramme 5;3,97;3,95;4,46;4,57;4,23;4,39;4,93;4,39;4,09;4,24
Légumes-feuilles, 142 grammes 6;4,15;4,23;4,58;4,59;4,72;4,65;4,86;4,39;4,9;4,57
Pommes de terre frites surgelées, 750 grammes 6;3,77;3,63;3,6;3,47;3,39;3,26;3,47;3,65;3,44;3,25
Haricots verts surgelés, 750 grammes 6;4,56;4,42;4,83;4,66;4,31;4,23;4,97;4,66;4,1;4,22
Brocoli surgelé, 500 grammes 5;3,83;3,81;4,17;4,19;3,93;3,85;4,19;4,21;3,79;3,83
Maïs surgelé, 750 grammes 6;3,74;3,66;3,77;3,84;3,71;3,64;3,79;3,82;3,78;3,62
Mélange de légumes surgelé, 750 grammes 6;4,18;3,96;4,2;4,21;3,83;3,66;4,56;4,2;3,79;3,7
Petits pois surgelés, 750 grammes 6;3,75;3,68;3,77;3,82;3,65;3,6;3,88;3,82;3,69;3,54
Pizza surgelé, 390 grammes 6;4,83;4,65;4,73;4,78;4,7;4,61;4,73;4,72;4,81;4,59
Épinard surgelé, 300 grammes 6;2,29;1,95;2,08;2,03;1,84;1,84;2,05;1,95;1,98;1,85
Fraises surgelé, 600 grammes 5;5,26;5,11;5,79;5,85;5,6;5,46;5,79;5,67;5,66;5,62
Pain blanc, 675 grammes 6;4,03;3,17;3,86;3,78;3,71;3,67;4,12;3,76;4,11;3,67
Pain sans levain et pita, 500 grammes 6;4,13;3,15;4;3,91;3,6;3,32;3,72;3,75;3,35;3,51
Craquelins et pain croustillant, 200 grammes 5;2,96;2,89;3,36;3,33;3,14;3,19;3,27;3,25;3,19;3,08
Biscuits et biscuits sucrés, 300 grammes 6;3,5;3,15;3,7;3,63;3,35;3,32;3,87;3,85;3,5;3,34
Pâtes sèches ou fraîches, 500 grammes 6;3,09;3,13;3,08;3,36;3,38;3,33;3,28;3,31;3,46;3,28
Riz complet, 900 grammes 6;5,4;5,6;6,1;6,09;5,91;5,73;5,91;6,09;6,38;5,88
Riz blanc, 2 kilogrammes 6;10,69;9,18;10,05;10,27;8,93;8,57;9,93;9,97;8,79;8,27
Céréales, 400 grammes 6;4,12;4,08;4,25;4,24;4,14;4,09;4,28;4,2;4,15;4,04
Farine de blé, 2,5 kilogrammes 6;5,07;5,17;5,82;5,93;5,57;5,38;5,65;5,83;5,59;5,38
Sucre blanc, 2 kilogrammes 6;3,2;3,37;3,37;3,45;3,49;3,45;3,49;3,5;3,47;3,42
Jus de pomme, 2 litres 6;4,58;3,84;4,24;4,26;4,34;4,16;3,94;4,29;4,41;4,12
Jus d’orange, 2 litres 6;6,45;6,13;6,36;6,41;6,59;6,43;6,41;6,33;6,56;6,45
Café torréfié ou moulu, 340 grammes 6;9,73;9,16;9,47;9,76;9,2;8,67;9,71;9,32;9,51;8,87
Thé (20 sachets) 5;4,51;4,36;4,77;4,85;4,57;4,5;4,64;4,43;4,61;4,49
Ketchup, 1 litre 6;4,96;4,75;5,11;5,12;4,84;4,72;5,05;5,1;4,8;4,67
Huile végétale, 3 litres 6;8,77;8,95;12,06;11,96;11,82;11,77;10,73;10,56;11,8;11,74
Huile de canola, 3 litres 6;11;9,62;12,36;12,85;10,18;9,96;12,21;11,85;10,28;9,78
Huile d'olive, 1 litre 6;12,01;11,22;12,39;12,42;11,95;12,01;12,05;12,43;12,09;11,66
Aliments pour bébés, 128 millilitres 6;1,55;1,54;1,51;1,52;1,48;1,47;1,63;1,48;1,48;1,41
Préparation pour nourrissons, 900 grammes 6;49,33;52,64;50,44;51,57;50,96;49,07;52,51;50,17;51,3;49,36
Beurre d’arachide, 1 kilogramme 6;5,87;5,83;5,88;5,85;5,88;5,78;5,78;5,78;6,08;5,8
Mayonnaise, 890 millilitres 6;6,31;6,46;6,29;6,25;6,45;6,26;5,85;6,31;6,45;6,26
Fèves au lard en conserve, 398 millilitres 6;1,53;1,82;2,03;2,04;1,94;1,86;2,04;2;1,91;1,85
Tomates en conserve, 796 millilitres 6;2,18;2,1;2,24;2,22;2,14;2,14;2,15;2,2;2,2;2,08
Soupe en conserve, 284 millilitres 6;1,24;1,32;1,29;1,33;1,46;1,36;1,26;1,36;1,43;1,38
Haricots et lentilles en conserve, 540 millilitres 5;1,77;1,66;1,8;1,82;1,74;1,7;1,84;1,8;1,72;1,71
Maïs en conserve, 341 millilitres 6;1,61;1,68;1,73;1,69;1,77;1,78;1,71;1,71;1,76;1,72
Pêche en conserve, 398 millilitres 6;2,71;2,56;2,67;2,7;2,61;2,52;2,52;2,66;2,58;2,51
Poire en conserve, 398 millilitres 6;2,98;2,89;3,08;3,04;2,98;2,92;3,05;2,98;3,03;2,91
Lentilles séchées, 900 grammes 6;3,51;3,53;3,96;4,08;3,65;3,69;4,07;4,11;3,9;3,74
Haricots et légumineuses secs, 900 grammes 6;3,29;3,56;3,78;3,87;3,56;3,54;3,89;3,79;3,54;3,56
Tofu, 350 grammes 6;2,72;2,7;2,85;2,9;2,86;2,75;2,91;2,82;2,97;2,78
Houmous, 227 grammes 6;4,03;3,74;3,96;3,92;4,04;3,97;3,97;3,91;3,88;3,95
Salsa, 418 millilitres 6;4,72;4,8;5,2;5,17;5,02;4,8;5,04;5,19;4,94;4,91
Sauce pour pâtes, 650 millilitres 6;4,14;3,09;3,25;3,19;3,17;2,93;3;3,15;3,28;2,94
Vinaigrette, 475 millilitres 6;3,2;3,48;3,83;3,79;3,49;3,37;3,73;3,81;3,41;3,39
Amandes, 200 grammes 6;5,88;5,17;5,42;5,55;5,49;5,24;5,35;5,64;5,26;5,36
Arachides, 450 grammes 6;4,4;4,01;4,43;4,46;4,53;4,47;4,47;4,34;4,42;4,58
Graines de tournesol, 400 grammes 6;4,62;4,69;5,17;5,15;4,92;4,76;5,02;5,2;4,84;4,81
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
Déodorant, 85 grammes 6;7,33;7,84;8,09;8,1;8,24;8,07;7,58;8,05;8,29;7,99
Dentifrice, 100 millilitres 6;3,71;4,01;4,32;4,33;4,55;4,43;4,12;4,19;4,4;4,32
Shampooing, 400 millilitres 6;6,7;7,01;6,99;7,04;7,2;7,14;6,73;7,11;7,36;7,05
Détergent à lessive, 4,43 litres 6;14,76;12,26;13,33;12,88;12,56;12,88;12,37;12,76;12,4;12,43
